Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
ResNet,PM2.5,0.012459675831054564,0.09561851742468948,0.11162291803681967,-0.7229598634460546,inf,0.08475289084842992,73.11818371095066
ResNet,PM10,0.024390345985709536,0.1257051182782153,0.1561740887141959,-0.4380170013857301,62.202591931421615,0.08008126096708852,41.90265884065415
ResNet,SO2,0.08651494646049623,0.2331173669958178,0.2941342320446504,0.45209561030697143,160.535146642474,-0.1675226931904753,64.8102861254132
ResNet,CO,0.03613672044538075,0.14831039504704832,0.19009660819010094,-0.37243558560908907,inf,0.11952903979410676,52.716152041040864
ResNet,O3,0.02807177462221479,0.12254313021613898,0.16754633574690553,0.8243079581536467,162.79857866533604,-0.0008838993535336085,43.67260383325883
ResNet,NO2,0.02770206863536787,0.13108563611063662,0.16643938426757013,-7.639384459921581,inf,0.11910677097816352,88.35227852188835
ResNet_Attention,PM2.5,0.00900280582236334,0.07910076268624049,0.09488311663495956,-0.24493392128787228,inf,0.06839466975206385,65.33897368747164
ResNet_Attention,PM10,0.012692991053758915,0.08707005104896391,0.11266317523378663,0.2516409179092134,39.53151398442541,0.022781245028033862,31.434685226122042
ResNet_Attention,SO2,0.0679439989622735,0.20709229737773197,0.2606606970033524,0.5697065442706315,143.77402641470158,-0.15206392726787815,58.21192739277234
ResNet_Attention,CO,0.006385429919608044,0.06145146073466145,0.079908885110531,0.7574879196818955,inf,-0.007324953230432318,29.770215923922642
ResNet_Attention,O3,0.02383619351036949,0.11307910805270893,0.15438974548320716,0.8508170728769123,117.30807777474455,-0.0425897516417345,37.97996261658905
ResNet_Attention,NO2,0.004268836858687692,0.051899126885669625,0.06533633643454224,-0.33131295371209935,inf,0.03684613803462905,62.738731449108194
RexNet,PM2.5,0.010036688546008601,0.07593078617829727,0.10018327478181475,-0.3879022023655594,inf,0.003477098219834257,71.26056145498464
RexNet,PM10,0.021513799603036534,0.11601563965499867,0.14667583169369292,-0.26842028447232424,54.05922131643478,0.02648777115998942,42.914727276797706
RexNet,SO2,0.04711802491471077,0.17344158168422233,0.21706686738125366,0.7015986977900577,159.73541308792616,-0.11209593038898379,54.2968995033457
RexNet,CO,0.0410295244440674,0.17163312813918216,0.2025574596110136,-0.5582592640847701,inf,-0.0792110884439233,103.59201848676325
RexNet,O3,0.0649780134470282,0.2161596510887676,0.25490785285476825,0.593323898782161,137.87710954360318,-0.1345782021917948,58.99387427736936
RexNet,NO2,0.46282421819507674,0.4849606944860625,0.6803118536341085,-143.33999175227308,inf,0.46320906103184306,118.84179555411932
RexNet_Attention,PM2.5,0.01528328224615366,0.09804790990556782,0.1236255727839255,-1.1134162917954251,inf,0.052621866186231644,78.98569979489046
RexNet_Attention,PM10,0.024694963961368773,0.12288451106874583,0.15714631386503716,-0.45597680516146744,51.297461862227046,-0.03113080990902306,50.23838244368919
RexNet_Attention,SO2,0.13444635140817415,0.28615399937445785,0.36666926706253167,0.14854312314247498,148.86443399707937,-0.23121308074811542,76.33843063068176
RexNet_Attention,CO,0.026104540122457727,0.12479576923868782,0.16156899492928006,0.008576335415604541,inf,-0.040389975906925606,67.75171195808102
RexNet_Attention,O3,0.06344288725726567,0.1848489418036012,0.2518787153716361,0.602931750740254,162.492981965841,0.06344930080367248,51.89044421829657
RexNet_Attention,NO2,0.03261708494549576,0.1354646368326085,0.1806020070361782,-9.172220006930763,inf,0.11240038826105413,93.44487740571415
