Model,Pollutant,MSE,MAE,RMSE,R-squared,MAPE,MBD,sMAPE
GRU_Attention,O3,0.0028964193823402744,0.03727805493298846,0.05381839260271784,0.9725948460708237,10.572557121083765,0.027336890611278027,9.178045979816991
GRU_Attention,NO2,0.0024818587881284488,0.030644932590350896,0.04981825757820569,0.7170024289315859,inf,-0.024899937522908068,65.81204917670287
LSTM,PM2.5,0.0012300103603715517,0.02750811282700301,0.035071503537367085,0.9403751902077758,4.93177083261166,-0.010493372490989746,5.034216299529791
LSTM,PM10,0.0018645722376283184,0.029598078128498493,0.043180692880364004,0.9120360751689787,8.704908337414961,0.011889682856322895,8.159803800899471
LSTM,SO2,0.003437277080834943,0.03504672982093009,0.058628295905944115,0.8270132772214343,9.585258152060943,-0.014165616766782636,9.784647739569863
LSTM,CO,0.0030160169817434524,0.044729936153182395,0.054918275480421386,0.7031736315190249,inf,-0.035413072369875676,33.89853838851783
LSTM,O3,0.006655421283076139,0.06323245145299974,0.08158076539893543,0.9370281645543862,16.41367963000967,0.04909040888352491,14.305479116979189
LSTM,NO2,0.002239124725550165,0.036527898507795066,0.047319390587265225,0.7446805347343032,inf,0.009530471626261415,64.76763539118937
LSTM_Attention,PM2.5,0.0026831250770870956,0.04260817801869075,0.051798890693595896,0.8699353862989097,7.646541115154052,-0.039680475974204044,8.136488815591605
LSTM_Attention,PM10,0.003151933467005491,0.04062954015505595,0.05614208285239773,0.8513029246232295,11.4779912580105,0.029525758249800377,10.557103295406275
LSTM_Attention,SO2,0.004496623972186713,0.04795754367945173,0.06705687117802853,0.7736998716649376,15.876072873829711,0.008551151096768544,14.704673023299804
LSTM_Attention,CO,0.003631392899874001,0.04639465634353335,0.06026103965145309,0.6426103786809234,inf,-0.006890290314353598,35.153078377444096
LSTM_Attention,O3,0.008347527232110913,0.06677666969110352,0.09136480302671764,0.9210179057222192,17.4979238790233,0.056722926820484104,14.489500026930514
LSTM_Attention,NO2,0.0027104620842613634,0.04152672833749161,0.052062098346699046,0.6909356043993837,inf,0.017674322221520815,66.4522483406525
SARIMA,PM2.5,2171.943962350897,46.11418938872266,46.60411958562137,-105284.08523734956,8043.455869029586,46.11418938872266,195.07946116209447
ResNet,PM2.5,0.0013763381431662295,0.02970253684930324,0.037099031566420027,0.9332819440876252,5.3470325131029215,-0.02715052699770156,5.575704804669023
ResNet,PM10,0.0010146158095250368,0.024969814666934105,0.03185303454186173,0.9521340139039348,7.405066140338971,0.0026030432281972343,7.259655184942978
ResNet,SO2,0.004623251618440519,0.047705155516842984,0.06799449697174412,0.7673271234041867,14.07385055057253,-0.012669780047134474,13.890241236925432
ResNet,CO,0.0014520548309072514,0.02972262757277966,0.0381058372287928,0.8570935890273718,inf,-0.01518368040769707,23.56442757774547
ResNet,O3,0.004910213846810242,0.05329056659150666,0.07007291806975247,0.9535408556103914,12.39730029674571,0.03396177901759387,11.960709433377346
ResNet,NO2,0.001973885941155294,0.032427115541933775,0.04442843617724232,0.7749247742921431,inf,0.014884213328509774,59.79631260861412
ResNet_Attention,PM2.5,0.0008529450062065609,0.0236201809157868,0.029205222242033375,0.9586534509002581,4.452750071188267,-0.007350551458380233,4.522316990406012
ResNet_Attention,PM10,0.0019325610616228901,0.03639071714331602,0.04396090378532828,0.9088286028691577,10.876062600413874,0.0250254129645413,10.08149099701313
ResNet_Attention,SO2,0.00416346528613788,0.04480621793664685,0.06452491988478466,0.7904666402173295,13.31249772500718,-0.005147623279253735,13.020159485187639
ResNet_Attention,CO,0.0020365276188577166,0.03433872655162826,0.045127902885661736,0.7995717195639575,inf,-0.02449118469176757,27.889937671006823
ResNet_Attention,O3,0.004240857946181104,0.044866858540094215,0.06512186995304345,0.9598741240597009,10.702601220293952,0.036852700535133245,9.31141563926032
ResNet_Attention,NO2,0.0019494940295821412,0.030186385027508245,0.0441530749731221,0.7777060976139761,inf,-0.0030788552590567185,64.08192404120653
RexNet,PM2.5,0.007095629191243484,0.07125870688031988,0.08423555776062437,0.6560390428286744,12.152929186612646,-0.0673110223963511,13.223504099699324
